,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn,Age_Group,Charges_Per_Tenure,renewal,Total_Services_Added,average_charge_per_service
0,0.17142857142857143,0.0,1.0,0.0,0.5,1.0,0.3421052631578947,0.12370300498585095,0.0,0.0,1.0,0.0,0.0,0.5,0.05437540781555862,0.014084507042253521,0.2857142857142857,0.058942155511308526
1,0.17142857142857143,0.0,0.0,1.0,1.0,1.0,0.5986842105263158,0.19337016574585633,1.0,1.0,0.0,0.0,0.0,1.0,0.09185818893641702,0.0,0.42857142857142855,0.06881796599785572
2,0.8428571428571429,1.0,0.0,1.0,0.0,1.0,0.6381578947368421,0.9411130575394151,1.0,1.0,0.0,0.0,0.0,0.5,0.09673264216148288,0.8450704225352113,0.5714285714285714,0.2674222698728749
3,0.8,1.0,1.0,1.0,0.0,0.0,0.38815789473684215,0.5981673628890984,0.0,1.0,0.0,1.0,0.0,0.5,0.06043619888552673,0.8028169014084507,0.7142857142857142,0.14155434727114924
4,0.7285714285714286,1.0,1.0,1.0,1.0,0.6666666666666666,0.07236842105263158,0.20967524592372994,1.0,0.0,1.0,1.0,0.0,0.5,0.015261364460233452,0.028169014084507043,0.8571428571428571,0.04240421854145242
5,0.7428571428571429,1.0,1.0,1.0,0.0,0.0,0.381578947368421,0.5516776714728473,1.0,0.0,1.0,0.0,0.0,0.0,0.0598580904451123,0.7464788732394366,0.7142857142857142,0.13054577015367336
6,0.6,1.0,1.0,0.0,1.0,1.0,0.39473684210526316,0.4613933432152001,1.0,0.0,0.0,0.0,0.0,0.5,0.06216162900291519,0.014084507042253521,0.42857142857142855,0.16401822637463623
7,0.5857142857142857,0.0,0.0,1.0,0.0,0.0,0.5197368421052632,0.5580110497237568,0.0,1.0,0.0,0.0,0.0,0.5,0.08004577891477044,0.5915492957746479,0.2857142857142857,0.26462704855261143
8,0.35714285714285715,0.0,1.0,1.0,0.0,0.6666666666666666,0.032894736842105254,0.0874545209540493,0.0,0.0,1.0,1.0,0.0,0.5,0.010838831291234682,0.36619718309859156,0.5714285714285714,0.024850666258232502
9,0.3142857142857143,0.0,1.0,1.0,1.0,1.0,0.3092105263157895,0.20522840587521896,0.0,1.0,0.0,0.0,0.0,0.5,0.04978896037372453,0.0,0.42857142857142855,0.07302994332975954
10,0.6,1.0,1.0,1.0,0.0,0.6666666666666666,0.6118421052631579,0.6492386470826034,1.0,0.0,1.0,1.0,0.0,0.0,0.09271639304736645,0.6056338028169014,0.8571428571428571,0.13162155657177868
11,0.3857142857142857,0.0,1.0,0.0,1.0,0.3333333333333333,0.6578947368421053,0.44805282306966715,0.0,0.0,1.0,0.0,0.0,0.0,0.09919886899151743,0.014084507042253521,0.2857142857142857,0.21255169244907338
