,Tenure,MonthlyCharges,Charges_Per_Tenure,average_charge_per_service,TotalCharges,renewal,Contract,Total_Services_Added,PaymentMethod
485,0.7571428571428571,0.4078947368421053,0.06395085000174537,0.1203531496838282,0.5937205228405875,0.7605633802816901,0.0,0.8571428571428571,0.0
2176,0.24285714285714283,0.09868421052631579,0.01879777987223793,0.057952979016694744,0.08044737905942594,0.2535211267605634,0.0,0.14285714285714285,0.0
3301,0.6285714285714286,0.6052631578947368,0.0919677453136454,0.15967861336600808,0.6747069128149844,0.014084507042253521,1.0,0.7142857142857142,0.0
2793,0.0857142857142857,0.2828947368421052,0.046452134105291504,0.020667406953591667,0.05780892063064277,0.0,1.0,0.42857142857142855,0.0
258,0.35714285714285715,0.2828947368421052,0.045240339302544764,0.06118854342165722,0.21533486053092574,0.014084507042253521,1.0,0.5714285714285714,0.6666666666666666
2046,0.6142857142857143,0.3486842105263158,0.05472967183617512,0.12088374942563947,0.42541436464088395,0.619718309859155,0.0,0.5714285714285714,0.6666666666666666
1898,0.9857142857142858,0.18421052631578946,0.031802881378753194,0.15942334201255937,0.4484570812558954,0.9859154929577465,0.0,0.42857142857142855,0.0
1200,0.4714285714285714,0.3157894736842105,0.05011919942340744,0.07234390156736611,0.30588869424605847,0.47887323943661975,0.0,0.7142857142857142,1.0
3707,0.014285714285714285,0.5921052631578947,0.09330819981149858,0.010281053760147036,0.02856757849346449,0.028169014084507043,0.0,0.42857142857142855,0.3333333333333333
2694,0.8428571428571429,0.4736842105263158,0.07306000628338045,0.17467580538112013,0.7380406953240802,0.8450704225352113,0.0,0.7142857142857142,0.6666666666666666
787,0.7000000000000001,1.0,0.03800188501413761,0.17279317914943587,0.3641018730629295,0.056338028169014086,0.5,0.2857142857142857,1.0
209,0.04285714285714286,0.18421052631578946,0.03157398680490103,0.0067391637310461015,0.023716480258725237,0.0,1.0,0.5714285714285714,0.3333333333333333
3393,0.0,0.29605263157894735,0.056550424128180954,0.002297442181038444,0.008085163724565423,0.014084507042253521,0.0,0.5714285714285714,0.3333333333333333
1117,0.12857142857142856,0.032894736842105254,0.009707822808671066,0.011094731199264818,0.03085837488209136,0.14084507042253522,0.0,0.42857142857142855,1.0
2966,0.17142857142857143,0.006578947368421045,0.00587254404408033,0.016248021647010773,0.033553429456946504,0.18309859154929578,0.0,0.2857142857142857,0.6666666666666666
3331,0.6857142857142857,0.02631578947368421,0.009117313277808767,0.05498544953285343,0.15442662713919955,0.6901408450704225,0.0,0.42857142857142855,0.6666666666666666
2008,0.7285714285714286,0.506578947368421,0.07743058072935548,0.13621644093385557,0.6718771055113866,0.7323943661971831,0.0,0.8571428571428571,0.6666666666666666
596,0.8714285714285714,0.09868421052631579,0.01944300872579125,0.06797237963955685,0.28742757040830075,0.8732394366197184,0.0,0.7142857142857142,0.3333333333333333
1729,0.7142857142857143,0.368421052631579,0.05849087985806953,0.18512597641292694,0.5208192965907559,0.7183098591549296,0.0,0.42857142857142855,1.0
3052,0.22857142857142856,0.21710526315789472,0.03636968453733991,0.02799050390565171,0.11858240129362618,0.23943661971830987,0.0,0.7142857142857142,0.6666666666666666
296,0.5571428571428572,0.2763157894736842,0.04403864278982093,0.11572407719405728,0.32542783991375823,0.5633802816901409,0.0,0.42857142857142855,0.0
1725,0.1857142857142857,0.26315789473684215,0.04382657869934024,0.0264907847041405,0.1122490230427166,0.1971830985915493,0.0,0.7142857142857142,0.6666666666666666
507,0.45714285714285713,0.5592105263157895,0.08468283209093765,0.2181676622249451,0.45991106319902975,0.4647887323943662,0.0,0.2857142857142857,0.6666666666666666
7,0.5857142857142857,0.5197368421052632,0.08004577891477044,0.26462704855261143,0.5580110497237568,0.5915492957746479,0.0,0.2857142857142857,0.0
2115,0.11428571428571427,0.26315789473684215,0.043355325164938736,0.02014090978710369,0.07087993531869019,0.0,0.5,0.5714285714285714,0.6666666666666666
2867,0.04285714285714286,0.13815789473684212,0.02238454288407163,0.009100423750446725,0.018461123837757713,0.056338028169014086,0.0,0.2857142857142857,0.6666666666666666
3670,0.5285714285714286,0.08552631578947367,0.017882831489657223,0.05943674375861541,0.16695863091227597,0.5352112676056339,0.0,0.42857142857142855,0.6666666666666666
